title,timestamp,summary,link,source,scraped_at
CrossCountry to run full train service after power outage causes major disruption,"Mon, 24 Aug 2026 06:41:05 GMT",It follows major national rail disruption at the weekend.,https://www.bbc.co.uk/news/articles/cp8x8xglp27o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Viral 'Cat in the Hat' TikTok trend sparks fun fake videos but also real fear,"Sun, 23 Aug 2026 18:38:36 GMT",The social media posts have prompted police forces in Ireland and the UK to issue statements that the images are fake.,https://www.bbc.co.uk/news/articles/cwyqy29jn74o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
BBC News app,"Wed, 30 Apr 2025 14:04:28 GMT","Top stories, breaking news, live reporting, and follow news topics that match your interests",https://www.bbc.co.uk/news/10628994?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Is Andy Burnham Actually Popular Or Just New?,"Fri, 21 Aug 2026 14:35:00 GMT","And, Sue Gray gives her first interview since leaving Downing Street.",https://www.bbc.co.uk/sounds/play/p0p4z216?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
How will Trump’s former personal lawyer run the US justice department?,"Fri, 21 Aug 2026 11:00:00 GMT",Attorney General Todd Blanche won’t pledge to act “independently” from the White House.,https://www.bbc.co.uk/sounds/play/p0p5l363?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
An intense psychological thriller with Zoë Kravitz and Channing Tatum,"Wed, 01 Jul 2026 23:20:41 GMT","Having fun? Nothing as as it seems on a private party island, and leaving's not an option",https://www.bbc.co.uk/iplayer/episode/m002ydz2?at_mid=vJxOQwqmAJ&at_campaign=Blink_Twice&at_medium=display_ad&at_campaign_type=owned&at_nation=NET&at_audience_id=SS&at_product=iplayer&at_brand=m002ydz2&at_ptr_name=bbc&at_ptr_type=media&at_format=image&at_objective=consumption&at_link_title=Blink_Twice&at_bbc_team=BBC,BBC,2026-08-24T13:46:31.397802
Relief for Iraola but Liverpool have work to do after snatching draw at Newcastle,"Sun, 23 Aug 2026 19:27:12 GMT",Dominik Szoboszlai's injury-time penalty rescues a point at the start of the Andoni Iraola era - but Liverpool need to improve after below-par display.,https://www.bbc.co.uk/sport/football/articles/cdrvr73egnlo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
What will it take to stop the England hangovers?,"Sun, 23 Aug 2026 21:31:03 GMT","Yet again, England are dealing with a player involved in a late-night incident. Only strong action will ensure there are no more, writes Stephan Shemilt.",https://www.bbc.co.uk/sport/cricket/articles/clyey486g4eo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Norris and McLaren 'don't have car' to fight for title despite Dutch GP win,"Sun, 23 Aug 2026 19:23:43 GMT","Lando Norris says he and McLaren ""don't have the car I need to fight for a championship"", despite a second consecutive win of the season at the Dutch Grand Prix.",https://www.bbc.co.uk/sport/formula1/articles/c1e1e56q4w5o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Uefa chief Ceferin rules out Fifa presidency bid,"Sun, 23 Aug 2026 23:20:31 GMT","Uefa president Aleksander Ceferin rules himself out of the running to replace Gianni Infantino, but expects a candidate to challenge the Fifa president's leadership in March.",https://www.bbc.co.uk/sport/football/articles/cp878rp71v2o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Clark holds off McIlroy fightback to win BMW Championship,"Sun, 23 Aug 2026 22:30:22 GMT","Wyndham Clark says he is ""one of the best players in the world"" after he survives a  fightback from Rory McIlroy to win the BMW Championship.",https://www.bbc.co.uk/sport/golf/articles/cdrvr8nkm5mo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
'A win at home in the first game was beyond anyone's dreams' - Holden on MOTD,"Sun, 23 Aug 2026 23:37:29 GMT","Following their huge win against Manchester United, Hull City assistant head coach Dean Holden joins Gabby Logan, Danny Murphy and Joe Hart in the Match of the Day studio.",https://www.bbc.co.uk/sport/football/videos/c0kmk6rd30no?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Robot horse and rider steal the spotlight at Chinese conference,"Sat, 22 Aug 2026 12:47:28 GMT","More than 300 companies are showcasing the latest advances in robotics at the five-day event in Beijing, China, organisers say.",https://www.bbc.co.uk/news/videos/cy4k4d3lj21o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
TikTok to pay $400m to US in one of largest child privacy settlements,"Fri, 21 Aug 2026 22:36:12 GMT","The deal stems from a 2024 lawsuit alleging TikTok and its parent company ByteDance collected ""vast amounts of data"" on millions of users under the age of 13.",https://www.bbc.co.uk/news/articles/cwyr0l45xjro?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
How landscape gardening is being electrified,"Thu, 20 Aug 2026 23:12:38 GMT",The switch to quieter electric equipment is not going as fast as some would like.,https://www.bbc.co.uk/news/articles/cpq3w3v19veo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Is Vine back? Short-form video-sharing app Divine opens to public,"Thu, 20 Aug 2026 16:58:37 GMT",The app lets users create six-second looping videos and hosts more than two million classic videos.,https://www.bbc.co.uk/news/articles/c3r05g378w4o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
UK business hit by 'daylight robbery' 1500% price hike for invoicing software,"Thu, 20 Aug 2026 09:44:04 GMT","Richard Haldenby says his average monthly bill for Harvest had risen from $130 (£95.50) to $2,110.",https://www.bbc.co.uk/news/articles/clyq011414eo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
"81,000 warning letters sent to crypto holders in HMRC tax crackdown","Wed, 19 Aug 2026 16:14:46 GMT",According to a Freedom of Information (FOI) request the number of letters sent has almost tripled since 2024.,https://www.bbc.co.uk/news/articles/c0ej09nywdno?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Monzo says issue with card payments and transfers now resolved,"Wed, 19 Aug 2026 16:04:16 GMT","The digital bank said all of its services were now ""back up and running""",https://www.bbc.co.uk/news/articles/cwyrvxvl1eeo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
OpenAI slows down training after its AI carried out hack,"Wed, 19 Aug 2026 11:19:12 GMT",The ChatGPT-maker said training will be slowed for two weeks while it puts the upgrades in place.,https://www.bbc.co.uk/news/articles/c235dmndylzo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
The critical tech staying safe by going underground,"Tue, 18 Aug 2026 23:25:21 GMT",The war in Ukraine has spurred people to consider putting vital infrastructure underground.,https://www.bbc.co.uk/news/articles/c20ydrndr0wo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
"Meta hooked children on Facebook and Instagram, US court hears","Tue, 18 Aug 2026 22:11:07 GMT","Meta argued social media addiction does not exist, as a trial stemming from a major lawsuit brought by US states started.",https://www.bbc.co.uk/news/articles/cly5r7vr7q1o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
OpenAI makes ChatGPT less 'human' for teens in new safety update,"Tue, 18 Aug 2026 11:26:26 GMT",OpenAI insisted this was not in response to a particular issue with children believing ChatGPT to be alive.,https://www.bbc.co.uk/news/articles/czxqz91n5n8o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
AI to help planes avoid climate-warming 'sky graffiti',"Tue, 18 Aug 2026 09:26:41 GMT","A new UK trial hopes to reduce the condensation trails from planes, which can trap heat in the Earth's atmosphere.",https://www.bbc.co.uk/news/articles/c62em5lpvnjo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
US states call for big changes to Instagram and Facebook as Meta child privacy trial begins,"Tue, 18 Aug 2026 09:00:33 GMT",US states are suing the social media giant to force an overhaul of its platforms for young users.,https://www.bbc.co.uk/news/articles/clyqpx6xk69o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Tech Life,"Tue, 18 Aug 2026 20:00:00 GMT",Vapour trails from aircraft contribute to warming in the atmosphere.,https://www.bbc.co.uk/sounds/play/w3ct8jy9?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Tech Now,"Sat, 01 Aug 2026 01:00:12 GMT",New technologies measuring forests and exclusive access to a hacker rehab programme.,https://www.bbc.co.uk/iplayer/episode/m002zxt1?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
CrossCountry train services resume after outage,"Mon, 24 Aug 2026 06:41:05 GMT",It follows major national rail disruption at the weekend.,https://www.bbc.co.uk/news/articles/cp8x8xglp27o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
"Struggling households need more help with bills, energy industry says","Sun, 23 Aug 2026 10:11:21 GMT",Industry body Energy UK says the current support for households most in need does not go far enough.,https://www.bbc.co.uk/news/articles/cm2g5x7l4mko?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Economic adviser O'Neill rules out government job but backs PM's devolution plans,"Sat, 22 Aug 2026 08:37:16 GMT","Lord O'Neill, former chief economist at Goldman Sachs, was tipped to become Andy Burnham's chief economic adviser.",https://www.bbc.co.uk/news/articles/cwym4m4j848o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Trump says Canada wants 'benefits' of being US state after trade talks collapse,"Sun, 23 Aug 2026 19:11:30 GMT","Canada's PM said he was ""reluctantly"" announcing retaliatory tariffs and accused the US of starting a trade war.",https://www.bbc.co.uk/news/articles/cx272np7vgyo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
"Iran-linked hackers behind cyber attack that shut down power plant, reports say","Sun, 23 Aug 2026 02:48:41 GMT",The government says at no point was there a risk to the UK's energy system during the attack in July.,https://www.bbc.co.uk/news/articles/ce9793g34yvo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Mayors to get powers to overrule local councils on planning decisions,"Sun, 23 Aug 2026 10:02:23 GMT","Housing minister Matthew Pennycook said the change was ""essential"" for helping mayors ""effectively deliver new homes"".",https://www.bbc.co.uk/news/articles/cy8m0gxexl4o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Les used a QR code to download a parking app - but it was a scam,"Sun, 23 Aug 2026 06:23:54 GMT",Scammers set up a monthly subscription of £60 from Les Howard's account after he downloaded an app.,https://www.bbc.co.uk/news/articles/cwyjqg578e1o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
More students planning to live at home for university over 'insane' living costs,"Fri, 21 Aug 2026 23:01:58 GMT","Students like Jessica say they worry about missing out on student life, but feel they have no choice but to stay at home.",https://www.bbc.co.uk/news/articles/c70gy180e8lo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Millennials have found it hard to buy homes – but things may be turning a corner,"Fri, 21 Aug 2026 10:02:03 GMT",Twenty-somethings are much less likely to own a home than previous generations. But data suggests things may be improving.,https://www.bbc.co.uk/news/articles/cgewlld498xo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Royal Mail misses delivery targets again but hails 'encouraging' signs,"Fri, 21 Aug 2026 11:20:57 GMT",The struggling firm said it had improved its performance but missed regulator-set delivery targets.,https://www.bbc.co.uk/news/articles/c1w1rg208xdo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
US borrowing costs rise as attempts to ease rates prove short-lived,"Fri, 21 Aug 2026 16:45:09 GMT",Economists said there were ongoing concerns over the level of borrowing as national debt passed $40tn.,https://www.bbc.co.uk/news/articles/cvg92p3ez17o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Stifling heat and broken toilets: TUI River Cruise passengers tell of their holiday hell,"Thu, 20 Aug 2026 22:59:35 GMT",Holidaymakers tell the BBC they paid for luxury breaks but faulty air conditioning left them in sweltering heat.,https://www.bbc.co.uk/news/articles/cy07exrz5lpo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
UK borrows more than expected in July as Healey prepares for first Budget,"Fri, 21 Aug 2026 09:45:11 GMT",Chancellor John Healey said the government is 'committed to meeting our fiscal rules',https://www.bbc.co.uk/news/articles/cly8kzkyvwgo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Why the US economy is ringing alarm bells,"Fri, 21 Aug 2026 08:38:18 GMT","The US hit a debt milestone this week, but just how worried should we be about the world's largest economy?",https://www.bbc.co.uk/news/articles/c9d8z72nn02o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Panama Canal to cut number of ships passing through due to El Niño,"Fri, 21 Aug 2026 06:46:08 GMT",The crucial waterway's operator says low rainfall caused by the ocean pattern had led to the decision.,https://www.bbc.co.uk/news/articles/cwyl0jkxxryo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
The teen entrepreneur transforming farm management,"Thu, 20 Aug 2026 23:01:01 GMT",The app was designed to give farmers more time with their families by making the business more manageable.,https://www.bbc.co.uk/news/articles/cx2r9gxp3xgo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
How much could Trump's 'economic D-Day' hurt Iran?,"Thu, 20 Aug 2026 23:16:45 GMT",Iran has so far proved adept at finding ways around years of already punishing sanctions on its economy.,https://www.bbc.co.uk/news/articles/cre4gdvlj9ro?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Travelodge boss resigns as chain tackles security after sex assault at hotel,"Thu, 20 Aug 2026 10:05:24 GMT",Jo Boydell had been criticised for the company's handling of issues with its safety and security.,https://www.bbc.co.uk/news/articles/c2k7e7zwxvyo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Walmart sales under strain as US shoppers pull back,"Thu, 20 Aug 2026 17:59:59 GMT",High gas prices and weaker pharmacy sales pushed Walmart's growth to its slowest pace in six years,https://www.bbc.co.uk/news/articles/cpq8rjy7vxlo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
US national debt passes $40tn after doubling in a decade,"Thu, 20 Aug 2026 06:23:23 GMT",It comes after the interest rate on 30-year bonds reached the highest level in almost 20 years.,https://www.bbc.co.uk/news/articles/c70gp8252ejo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
"'We have more work to do', says Canada negotiator as US trade deadline looms","Sat, 22 Aug 2026 00:40:47 GMT",Negotiations to finalise a deal between the US and Canada are going down to the wire ahead of a Friday night deadline.,https://www.bbc.co.uk/news/articles/czjlr0evy0do?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
"I quit my £80,000 job to make ice cream - here's how","Wed, 19 Aug 2026 23:08:03 GMT",The co-founder of Little Moons shares her advice for anyone thinking about starting a business of their own.,https://www.bbc.co.uk/news/articles/cz97148eye0o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Protein or pickled garlic? What's new in ice cream,"Fri, 14 Aug 2026 21:20:19 GMT",There's a constant battle in ice cream to come up with new flavours and to keep costs down.,https://www.bbc.co.uk/news/articles/c9826zl0945o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Why Japanese firms are being so slow to use AI,"Wed, 12 Aug 2026 23:00:47 GMT",Japanese risk aversion and conservatism blamed for slow AI take-up by the country's business sector.,https://www.bbc.co.uk/news/articles/cwymw4434v7o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Tokenomics: Why making AI pay is tricky,"Tue, 11 Aug 2026 23:03:52 GMT",Buyers of AI services are struggling to control costs and sellers are not sure how much to charge.,https://www.bbc.co.uk/news/articles/c872r52x7jgo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
"'I started in my 20s and made £8,000': Why women are often better investors than men","Mon, 10 Aug 2026 23:32:10 GMT","Women can make higher returns but only about a quarter of UK women have investments, compared with about 40% of men.",https://www.bbc.co.uk/news/articles/czdmgmzll1ro?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
'You could smell someone' who worked at Raleigh,"Mon, 10 Aug 2026 05:10:15 GMT","The company was more than just a employer. For years, it was part of the fabric of Nottingham.",https://www.bbc.co.uk/news/articles/cx2kgwrv6gvo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Why airlines are warning over lithium-ion batteries,"Thu, 06 Aug 2026 23:04:40 GMT",The airline industry wants passengers to be careful when travelling with lithium ion batteries.,https://www.bbc.co.uk/news/articles/cwyl6yz719jo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Argos is getting a makeover - but can it attract new shoppers?,"Thu, 06 Aug 2026 23:03:48 GMT",The retailer has been around for 50 years but struggled to compete with newer rivals such as Amazon. Can its new owners turn it around?,https://www.bbc.co.uk/news/articles/c2lqvwewgp2o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Kids food scheme set to grow after 'crazy' support,"Mon, 24 Aug 2026 05:15:20 GMT","The Grumpy Cook in Hastings is set to expand its scheme after receiving £30,000 in donations.",https://www.bbc.co.uk/news/articles/cgr7v78zqp5o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Taxi drivers urge council to agree 8% fare hike,"Sat, 22 Aug 2026 10:53:26 GMT",Taxi fares could rise by 8% to help drivers combat rising fuel prices and the cost of living.,https://www.bbc.co.uk/news/articles/cn0nlyxrz51o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Not 'poor enough': Do people use London's pay-it-forward schemes?,"Sat, 22 Aug 2026 06:59:33 GMT",The schemes are in place to help people who are struggling with the cost of living.,https://www.bbc.co.uk/news/articles/cewrv4wqvw2o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Why the UK is dithering over what to do about e-scooters,"Wed, 22 Jul 2026 23:51:24 GMT","Why is it taking so long for the government to regulate them, and what are the consequences of delay?",https://www.bbc.co.uk/news/articles/cn4nvn9w00no?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Why Gen Z are planning for life without a state pension,"Tue, 30 Jun 2026 23:05:19 GMT",Many younger people do not believe the state pension will exist when they are older,https://www.bbc.co.uk/news/articles/c8e2yp1gg37o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
The furious dispute over what caused Air India flight 171 to crash,"Wed, 10 Jun 2026 23:10:11 GMT","The final conclusions of the investigation have yet to be published, although more could become apparent in the coming days.",https://www.bbc.co.uk/news/articles/cwyk9exxp2qo?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
How the High Street became a window on our political instability,"Sun, 07 Jun 2026 23:00:04 GMT",High Streets have declined in recent years. What does this tell us about the UK?,https://www.bbc.co.uk/news/articles/cq5p59286v5o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
The £5 coffee that tells a story of global economic turmoil,"Thu, 28 May 2026 06:44:47 GMT","Coffees at some city centre outlets now cost £5. It's a story of tariffs, the climate, Gen Z cultural tastes, and savvy coffee farmers playing the market, writes Faisal Islam",https://www.bbc.co.uk/news/articles/cr5pp1m6z06o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Watch: How does the US national debt affect consumers around the world?,"Fri, 21 Aug 2026 20:28:12 GMT","The debt has more than doubled in a decade to reach a milestone $40tn (£29.4tn), Treasury figures show.",https://www.bbc.co.uk/news/videos/c4gjn4ezljno?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Couples share their biggest money disagreements,"Fri, 21 Aug 2026 05:18:04 GMT","Candles, haircuts, a Tesla... this week we're asking couples in London: ""What's the biggest money disagreement in your relationship?""",https://www.bbc.co.uk/news/videos/cr49vr77gy7o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Little Moons co-founder: Don't wait for your product to be perfect,"Thu, 20 Aug 2026 05:17:15 GMT","The mochi ice cream company co-founder shares her top tips, job highs and lows, and what a perfect Sunday looks like.",https://www.bbc.co.uk/news/videos/cgq5ky2ezl5o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
'I used food banks while my ex owed thousands in child maintenance',"Mon, 17 Aug 2026 12:27:55 GMT",Parents have told BBC Panorama the agency tasked with helping to secure financial support for children after separation or divorce is driving them to breaking point.,https://www.bbc.co.uk/news/videos/c5yvdeen2z2o?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
Business Daily,"Sun, 16 Aug 2026 20:30:00 GMT","Amid economic uncertainty, workers are more cautious about taking their next career step",https://www.bbc.co.uk/sounds/play/w3ct8gg6?at_medium=RSS&at_campaign=rss,BBC,2026-08-24T13:46:31.397802
